Name,Due Date,Link to search,Status,Industry,Company Size,Titles,Regions,,,,,,,,
MHXP (India),2026-06-26,,Done,"Real Estate, Construction",11-1000,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, Head of Sales, VP of Sales, Director of Sales, Chief Sales Officer, CMO, Head of Business Development, VP of Business Development, Director of Business Development, Chief Business Development Officer",India,,,,,,,,
Vastpro,2026-06-26,,Done,"Retail, Apparel & Fashion, Luxury goods and jwellery",51 to 500 employees,"CEO, Founder, Co-Founder, MD, Executive Director, Head of eCommerce, Vp of eCommerce, Director of eCommerce, CMO, Head of Marketing, 
VP of Growth, Director of Growth, Chief Growth Officer",India,,,,,,,,
Ergobite,2026-06-26,,Done,"Finance, Investment Banking",51-500,"CEO, Founder, Co-Founder, Managing Director, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations",Pune Mumbai,,,,,,,,
Resonance Digital,2026-06-26,,Done,"Real Estate, construction",51 to 200 employees,"CEO, Founder, Co-Founder, MD, Executive Director, CMO, Head of Marketing, VP of Marketing, Director of Marketing, Head of Growth, VP of Growth, Director of Growth, Chief Growth Officer, Chief Sales Officer, Head of Sales, VP of Sales, Director of Sales, Head of Branding, VP of Branding, Director of Branding, Chief Branding Officer, Brand Manager, Chief Architect",India,,,,,,,,
AYC Analytic,2026-06-26,,Done,"Keywords - ERP Resellers, ERP Consulting, Business Intelligence Consulting, Data Science",11 to 500,"CEO, Founder, Co-Founder, MD, Executive Director, Business Development Head",India,,,,,,,,
KRR,2026-06-26,,Done,Chemicals,51-5000,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, Chief Procurement Officer, Head of Procurement, VP of Procurement, Director of Procurement, Head of Sourcing, VP of Soucring, Director of Sourcing",india,,,,,,,,
Krishichakra,2026-06-26,Yogesh,Done,"Restaurant, Hotel, Hospitality, Food",11-1000,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, Chief Procurement Officer, Head of Procurement, VP of Procurement, Director of Procurement, Head of Sourcing, VP of Sourcing, Director of Sourcing",India,,,,,,,,
Precise3DM (FreeScan Omn),2026-06-26,,Done,Automotive,11-1000,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, Head of Quality, Vp of Quality, Director of Quality, Chief Quality Officer, Head of Production, VP of Production, Director of Production, Chief Production Officer, Plant Head",India,,,,,,,,
Precise3DM (FreeScan Trak Nova),2026-06-26,,Done,"Airlines, Aviation",11-1000,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, Head of Quality, Vp of Quality, Director of Quality, Chief Quality Officer, Head of Production, VP of Production, Director of Production, Chief Production Officer, Plant Head",India,,,,,,,,
Cloud Journee,2026-06-25,,Done,Software Product Companies,11 to 200 employees,"CEO, Founder, Co-Founder, MD, Executive Director, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology, Head of Cloud, Vp of Cloud, Director of Cloud",UK,,,,,,,,
Social Hardware,2026-06-25,,Done,,,,,,,,,,,,
Ideaforge,2026-06-25,,Done,,,,,,,,,,,,
Indrones,2026-06-25,,Done,"c, Oil & Gas, Mining & Metals",11-5000,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, Chief Procurement Officer, Head of Procurement, VP of Procurement, Director of Procurement, Head of Sourcing, VP of Soucring, Director of Sourcing",India,,,,,,,,
Durvah (Kinixis),2026-06-25,Vivek,Done,"Logistics, Electronics Manufacturing, Aerospace, Pharma, Airlines and aviation",200-5000,"CEO, Founder, Co-Founder, MD, Executive Director, COO, CIO, CTO, Head of Operations, VP of Operations, Director of Operations, Head of IT, VP of IT, Director of IT","US, UK",,,,,,,,
Adevs,2026-06-25,Vivek,Done,"Hospitality, Real Estate, Finance, banking",11 to 200,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Engineering, VP of Engineering, Director of Engineering, Head of Software Maintenance","Saudi Arabia, UAE, Qatar",,,,,,,,
Sterlite,2026-06-25,Vivek,Done,"Retail, Apparel & Fashion, Consumer Goods, Luxury Goods, Furniture, Pet Care",11-500,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology, Operations Manager, Technology Manager, IT Manager",US,,,,,,,,
Invictosoft,2026-06-26,,Done,"Hospitality, Logistics, Real Estate",11-200,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology",US,,,,,,,,
Deflytics - In person,2026-06-25,,Done,"IT Services, Outsourcing and offshoring,  Retail, Media, Professional/Business Services, Apparel and fashion, Luxury Goods and jewellery, Consumer Goods",11-500,"CFO, Director of Financial Planning & Analysis, VP of Financial Planning & Analysis, Head of Finance, Finance Director, SVP Finance, VP Finance",Mumbai,,,,,,,,
Augrev,2026-06-25,Vivek,Done,"Vertical  - Hospitality
Keywords - Vacation Property, Luxury villa rentals, Homestays",11 to 200 employees,"CEO, Founder, Co-Founder, MD, Executive Director, Revenue Manager, Head of Revenue, VP of Revenue, Director of Revenue",USA,,,,,,,,
G-square  (Credit risk),2026-06-25,,Done,"Banking, Finance, Insurance",51-500,"Chief Risk Officer, Chief Financial Officer, , Head of credit risk, Director of credit risk, VP of credit risk, Director of Risk, Head of Risk, VP of Risk","US, ME Asia, North Africa, Egypt, Philippines, Thailand, Malaysia",,,,,,,,
G-square  (Ai-offerings),2026-06-25,,Done,"Banking, Finance, Insurance",11-1000,"CTO, CIO, Head of AI, CMO, Director of AI, VP of AI, Head of BI, Director of BI, VP of BI, Head of Analytics, Head of Analytics, Head of Analytics","Egypt, Philippines, Thailand, Malaysia",,,,,,,,
Vesta,2026-06-26,,Done,Retail,11 to 1000 employees,"CEO, Founder, Managing Director, Executive Director, Co-Founder, Project Manager, COO, Head of Operations, VP of Operations, Director of Operations, Head of Facility Management, VP of Facility Management, Director of Facility Management, Head of Administration, VP of Administration, Director of Administration, Operations Manager, Administration Manager, Facilities Manager","South Africa, Vietnam, Indonesia, Malaysia, Thailand, Philippines, Australia",,,,,,,,
Algoscale,2026-06-26,,Done,Manufacturing,51 to 500 employees,"COO, Head of Operations, VP of Operations, Director of Operations, Head of Data, VP of Data, Director of Data, Data Manager, Operations Manager, Head of IT, VP of IT, Director of IT, IT Manager","Houston, Dallas, Detroit",,,,,,,,
Mple.ai,2026-06-26,,Done,"Pharma, Insurance",51-5000,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, Head of L&D, VP of L&D, Director of L&D, Chief Learning Officer, CHRO",India,,,,,,,,
Techsurance,2026-06-26,,Done,Insurance,11-1000,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, Head of Claims, Chief Underwriting Officer","UK, US, Czech Republic",,,,,,,,
Teamplus Staffing,2026-06-26,,Done,Software,11 to 50 employees,"CEO, Founder, Co-Founder, MD, Executive Director, Head of HR, VP of HR, Director of HR, Chief Human Resource Officer, Head of Talent Acquisition, VP of Talent Acquisition, Director of Talent Acquisition, Chief Talent Acquisition Officer","Dallas, San Francisco",,,,,,,,
Prodbrew,2026-06-25,,Done,"Life Science, Pharma",11-500,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, General Manager",Germany,,,,,,,,
Parsan,2026-06-26,,Done,Mining and metals,11-5000,"General Manager, CEO, Founder, Co-Founder, Managing Director, Executive Director, CTO, CIO, COO, Executive Vice President, Project Manager, Head of Projects, VP of Projects, Director of Projects, Head of Operations, Director of Operations, VP of Operations, Head of Technology, Director of Technology, VP of Technology",India,,,,,,,,
Sensel,2026-06-26,,Done,https://docs.google.com/spreadsheets/d/1QGVXGHk3E2L-hX8D2h3VyZ39PLNKjfb9qM2G7O0u90s/edit?gid=0#gid=0,,"CEO, Founder, Co-Founder, Managing Director, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, Head of Logistics, VP of Logistics, Director of Logistics, Chief Procurement Officer, Head of Procurement, VP of Procurement, Director of Procurement, Head of Sourcing, VP of Sourcing, Director of Sourcing",India,,,,,,,,
Formcept,2026-06-26,,Done,Software Product,201-1000,"Chief Technology Officer, Chief Information Officer, Chief Data Officer",US,,,,,,,,
Riskpro - Relixi,2026-06-26,,Done,"Healthcare & Hospitals, Pharmaceuticals, Manufacturing",51-1000,"CEO, Owner, Founder, Co-Founder, MD, Executive Director, CISO, Chief Risk Officer, Head of Compliance, VP of Compliance, Director of Compliance, Head of Risk, VP of Risk, Director of Risk, Head of Cybersecurity, VP of Cybersecurity, Director of Cybersecurity",India,,,,,,,,
Wondersoft,2026-06-26,,Done,"Consumer Electronics, Apparel & Fashion, Cosmetics, Retail",11-5000,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, Head of Store Operations, VP of Store Operations, Director of Store Operations",South africa,,,,,,,,
Digitattva,2026-06-26,,Done,Manufacturing,51 to 200 employees,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology","Mumbai, Pune, Chennai, Hyderabad, Bengaluru, Delhi, Noida, Gurugram",,,,,,,,
Startup Buddy - In person,2026-06-26,,Done,"Healthcare, Media, Retail, Management Consulting, Restaurants, IT Services",11 to 500 employees,"CEO, Founder, Co-Founder, MD, Executive Director, Chief Financial Officer, Chief Compliance Officer, Chief Legal Officer","Delhi, Noida, Gurugram, Gurgaon, Bengaluru",,,,,,,,
Riskpro,2026-06-26,,Done,"IT services, Finance, Insurance",51-500,"CEO, Owner, Founder, Co-Founder, MD, Executive Director, CISO, Chief Risk Officer, Head of Compliance, VP of Compliance, Director of Compliance, Head of Risk, VP of Risk, Director of Risk, Head of Cybersecurity, VP of Cybersecurity, Director of Cybersecurity",India,,,,,,,,
Plus one,2026-06-26,,Done,"Hospitality, Food",11-1000,"CEO, Founder, Co-Founder, MD, Executive Director, CMO, VP of Marketing, Director of Marketing, Head of Marketing, Chief Growth Officer, Head of Branding, VP of Branding, Director of Branding, Chief Branding Officer, Head of Design, VP of Design, Director of Design, Head of Packaging, VP of Packaging, Director of Packaging",India,,,,,,,,
Happyman - In person,2026-06-26,,Done,IT Services,51-200,"CEO, Founder, Co-Founder, MD, Executive Director, Head of HR, VP of HR, Director of HR, CHRO, Head of Talent Acquisition, VP of Talent Acquisition, Director of Talent Acquisition, Chief Talent Acquisition Officer","Chennai, Bengaluru, Hyderabad",,,,,,,,
NV-gen (Product),2026-06-26,,Done,"Mechanical & Industrial Engineering, Machinery, Electrical & Electronics Manufacturing, Automotive",51 to 200 employees,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, Plant Head, Head of Automation, Production Head, Manufacturing Head, Quality Head","Mumbai, Pune, Chennai, Hyderabad, Bengaluru, Delhi, Noida, Gurugram, Aurangabad, Coimbatore, Faridabad, Bhiwadi–Rewari–Neemrana Zone",,,,,,,,
Mavdero - inpo,2026-06-26,,Done,"Healthcare, Real Estate, Construction",51 to 200 employees,"CEO, Founder, Co-Founder, MD, Executive Director, Chief Legal Officer, Head of Legal, VP of Legal, Director of Legal","Mumbai, Pune, Chennai, Bengaluru, Hyderabad, Delhi, Ahmedabad, Noida",,,,,,,,
Cliniops,2026-06-26,,Done,"Pharma, Biotech",51 to 500 employees,"CEO, Founder, Co-founder, Managing Director, Owner, Director of Clinical Data Management, Head of Clinical Data Management, 
VP of Clinical Data Management, Head of Clinical Operations, VP of Clinical Operations, Director of Clinical Operations",US,,,,,,,,
Secure Logic - PCI DSS,2026-06-26,,Done,"Retail, Apparel, Fintech",11-200,"CEO, Founder, Co-Founder, MD, Executive Director, CIO, CTO, CISO ,, Head of IT Security, VP Engineering",India,,,,,,,,
Fitrofy,2026-06-26,,Done,"Healthcare, Pharma, Insurance",11 to 5000,"Founder, Co Founder, CEO, MD, Chief Medical Officer, Chief Clinical Officer, Chief Digital Officer, Chief Innovation Officer, Chief Technology Officer, Chief Product Officer, Chief Operating Officer, Chief Strategy Officer, Chief Growth Officer, Vp of Product, Head of Product, Director of Product, Vp of Operations, Head of Operations, Director of Operations",India,,,,,,,,
Flairchase,2026-06-25,https://app.apollo.io/#/people?contactEmailStatusV2[]=verified&personTitles[]=Head%20of%20Operations&personTitles[]=VP%20of%20Operations&personTitles[]=Director%20of%20Operations&personTitles[]=Head%20of%20Talent%20Acquisition&personTitles[]=VP%20of%20Talent%20Acquisition&personTitles[]=Director%20of%20Talent%20Acquisition&personTitles[]=Chief%20Talent%20Acquisition%20Officer&personTitles[]=CHRO&personTitles[]=Head%20of%20HR&personTitles[]=VP%20of%20HR&personTitles[]=Director%20of%20HR&personLocations[]=India&organizationNumEmployeesRanges[]=101%2C200&organizationNumEmployeesRanges[]=201%2C500&organizationNumEmployeesRanges[]=501%2C1000&organizationNumEmployeesRanges[]=51%2C100&organizationIndustryTagIds[]=5567cd4773696439b10b0000&organizationIndustryTagIds[]=5567cdd67369643e64020000&organizationIndustryTagIds[]=5567ce237369644ee5490000&organizationIndustryTagIds[]=5567cdd973696453d93f0000&qOrganizationJobTitles[]=Developer&qOrganizationJobTitles[]=AI%2FML&qOrganizationJobTitles[]=Product%20Engineer&sortByField=recommendations_score&sortAscending=false&page=1&recommendationConfigId=score,Rachana,,,,,,,,,,,,
Saamsha - In person,2026-06-26,,Done,"Hospital & Healthcare, Automotive, Real Estate",,,,,,,,,,,
More4less,2026-06-29,,Done,"Food Production, Automotive, Manufacturing",11-1000,"CEO, Founder, Co-Founder, MD, Executive Director, Head of Finance, VP of Finance, Director of Finance, CFO, Finance Controller","Pune, Mumbai",,,,,,,,
Mobile coderz (Task),2026-06-29,,Done,Healthcare & Hospitals,51 to 500 employees,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology",India,,,,,,,,
Tribyte,2026-06-29,,Done,"Education, e-learning",11-1000,"CEO, Founder, Co-Founder, MD, Executive Director, Head of Learning and Development, VP of Learning and Development, Director of Learning and Development, CHRO, COO, Head of Operations, VP of Operations, Director of Operations",India,,,,,,,,
NCS,2026-06-29,,Done,Financial Services,50 to 500 employees,"CEO, Founder, Co-Founder, MD, Executive Director, Chief Risk Officer, Head of Risk, VP of Risk, Director of Risk, Chief Audit Officer, Head of Audit, VP of Audit, Director of Audit, Head of Compliance, VP of Compliance, Director of Compliance, Chief Compliance Officer","Mumbai, Pune, Chennai, Hyderabad, Bengaluru, Delhi, Noida, Gurugram, Kerala",,,,,,,,
Resonance Digital,2026-06-29,,Done,"Real Estate, construction","200-500,51-200","CEO, Founder, Co-Founder, MD, Executive Director, CMO, Head of Marketing, VP of Marketing, Director of Marketing, Head of Growth, VP of Growth, Director of Growth, Chief Growth Officer, Chief Sales Officer, Head of Sales, VP of Sales, Director of Sales, Head of Branding, VP of Branding, Director of Branding, Chief Branding Officer, Brand Manager, Chief Architect",India,,,,,,,,
Unifab (Chemical),2026-06-29,,Done,Chemicals,51 to 1000 employees,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, Chief Procurement Officer, Head of Procurement, VP of Procurement, Director of Procurement, Head of Sourcing, VP of Sourcing, Director of Sourcing, Head of Purchase, VP of Purchase, Director of Purchase, Head of Projects, VP of Projects, Director of Projects",India,,,,,,,,
Excelrate,2026-06-29,URGENT,Done,Financial Services,200 to 500  (Series B+ listed companies),"CEO, Founder, Co-Founder, MD, Executive Director, Chief Growth Officer, Chief Business Officer, Chief Strategy Officer, Chief Marketing Officer, Chief Sales Officer","Mumbai, Pune, Chennai, Hyderabad, Bengaluru, Delhi, Noida, Gurugram",,,,,,,,
Vesta,2026-06-29,,Done,Manufacturing,11-200,"CEO, Founder, Managing Director, Executive Director, Co-Founder, Project Manager, COO, Head of Operations, VP of Operations, Director of Operations, Head of Facility Management, VP of Facility Management, Director of Facility Management, Head of Administration, VP of Administration, Director of Administration, Operations Manager, Administration Manager, Facilities Manager","South Africa, Vietnam, Indonesia, Malaysia, Thailand, Philippines, Australia",,,,,,,,
Cliqvenus - Talend,2026-06-29,,Done,Manufacturing,200-1000,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology, Head of Data, Chief Data Officer",India,,,,,,,,
Troop Messenger,2026-06-29,URGENT,Done,Automotive,11 to 1000 employees,"COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology, CIO, CISO, IT Manager, Operations Manager, Technology Manager",UK,,,,,,,,
Testaing - EU Act,2026-06-29,,Done,"Education, E-learning",51 to 500 employees,"CEO, Founder, Co-Founder, Executive Director, MD, CTO, CIO, Head of Engineering, VP of Engineering, Director of Engineering, Head of Operations, Vp of Operations, Director of Operations, COO",UK,,,,,,,,
Nixsoft - In person,2026-06-29,,Done,Financial Services,11-1000,"CEO, Founder, Co-Founder, Managing Director, Executive Director, Head of Infrastructure, VP of Infrastructure, Director of Infrastructure, Chief Infrastructure Officer, COO, Head of Operations, VP of Operations, Director of Operations, CTO, Head of Technology, VP of Technology, Director of Technology, CIO",Mumbai,,,,,,,,
Cloud Journee,2026-06-29,,Done,"Software, Media, gaming",11 to 200 employees,"CEO, Founder, Co-Founder, MD, Executive Director, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology, Head of Cloud, Vp of Cloud, Director of Cloud",United Kingdom,,,,,,,,
Maven Profcon,2026-06-29,,Done,Medical Device,1 to 500,"CEO, Founder, Co-Founder, Managing Director, Executive Director, Chief Compliance Officer, Head of Compliance, VP of Compliance, Director of Compliance, Head of QA, VP of QA, Director of QA, Head of Regulatory, VP of Regulatory, Director of Regulatory",UK,,,,,,,,
Maven Profcon (India),2026-06-29,,Done,Medical Device,11 to 5000,"CEO, Founder, Co-Founder, Managing Director, Executive Director, Chief Compliance Officer, Head of Compliance, VP of Compliance, Director of Compliance, Head of QA, VP of QA, Director of QA, Head of Regulatory, VP of Regulatory, Director of Regulatory",India,,,,,,,,
SISOC,2026-06-29,,Done,"Industrial Automation. Electronics Manufacturing, Consumer Electronics, Automotive, Mechanical and Industrial engineering, Machinery",51 to 500 employees,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, Head of Engineering, VP of Engineering, Director of Engineering",India,,,,,,,,
Teamplus Staffing,2026-06-29,,Done,"Financial Services, Banking",51 to 200 employees,"CEO, Founder, Co-Founder, MD, Executive Director, Head of HR, VP of HR, Director of HR, Chief Human Resource Officer, Head of Talent Acquisition, VP of Talent Acquisition, Director of Talent Acquisition, Chief Talent Acquisition Officer","Australia,UAE",,,,,,,,
ARC Tech,2026-06-29,,Done,"Logistics & Supply Chain, Hospitality, Healthcare, Oil & Gas",51 to 200 employees,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations","UAE, Saudi Arabia",,,,,,,,
Jalsevak,2026-06-29,,Done,"Logistics & Supply Chain, Manufacturing",200 to 1000 employees,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology","Mumbai, Pune, Chennai, Hyderabad, Bengaluru, Delhi, Noida, Gurugram",,,,,,,,
Startup Buddy - In person,2026-06-29,,Done,"Healthcare, Media, Retail, Management Consulting, Restaurants, IT Services",11 to 500 employees,"CEO, Founder, Co-Founder, MD, Executive Director, Chief Financial Officer, Chief Compliance Officer, Chief Legal Officer","Delhi, Noida, Gurugram, Gurgaon, Bengaluru",,,,,,,,
Seredium,2026-06-29,,Done,"Mechanical & Industrial Engineering, Food Production, Machinery, Industrial Automation, Electrical & Electronics Manufacturing, Automotive",51 to 500 employees,"CEO, Founder, Co-Founder, Managing Director, Executive Director, Head of Operations, Vp of Operations, Director of Operations, Head of Procurement, VP of Procurement, Director of Procurement, Plant Head",India,,,,,,,,
Safesense (In person),2026-06-29,,Done,"Finance, Logistics",51-5000,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, Head of Compliance, VP of Compliance, Director of Compliance, Head of Security, VP of Security, Director of Security, Head of Finance, VP of Finance, Director of Finance, CFO",Mumbai,,,,,,,,
Harixis - Regular,2026-06-29,,Done,"Logistics, Financial Services",51 to 200 employees,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology","Mumbai, Pune, Chennai, Hyderabad, Bengaluru",,,,,,,,
Ergobite - Staffing,2026-06-29,,Done,"Finance, Investment Banking",51-500,"CEO, Founder, Co-Founder, Managing Director, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations",Pune Mumbai,,,,,,,,
Radiant Global Solutions,2026-06-29,,Done,"Investment Management, Venture Capital, Financial Services",11-500,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CFO, Head of Finance, VP of Finance, Director of Finance, Partner, Managing Partner, Investment Director, Principal, Investment Manager, Head of Investments, Finance Manager, Fund Controller, Head of Fund Operations, Fund Operations Manager","Singapore, South Africa",,,,,,,,
Vigorsoft - In Person,2026-06-29,Task,Done,"Software, Retail, Fintech, Education",51 to 500 employees,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology",Bangalore,,,,,,,,
Sterlite Software,2026-06-29,,Done,"Retail, Apparel & Fashion, Consumer Goods, Luxury Goods, Furniture, Pet Care",11-500,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology, Operations Manager, Technology Manager, IT Manager",US,,,,,,,,
Algoscale,2026-06-29,,Done,Logistics,51 to 500 employees,"COO, Head of Operations, VP of Operations, Director of Operations, Head of Data, VP of Data, Director of Data, Data Manager, Operations Manager, Head of IT, VP of IT, Director of IT, IT Manager","Atlanta, Columbus, Kansas",,,,,,,,
Tribyte,2026-06-30,,Done,"Education, e-learning",11-1000,"CEO, Founder, Co-Founder, MD, Executive Director, Head of Learning and Development, VP of Learning and Development, Director of Learning and Development, CHRO, COO, Head of Operations, VP of Operations, Director of Operations, Principal, Dean",India,,,,,,,,
ARP Advisory - In-person,2026-06-29,,Done,"Retail, Manufacturing",11 to 50 employees,"CEO, Founder, Co-Founder, MD, Executive Director","Bengaluru, Delhi NCR, Hyderabad, Chennai",,,,,,,,
Sentinelwares,2026-06-29,Task,Done,"oil and gas, mining and metals",51-1000,"CEO, Founder, Co-Founder, MD, Executive Director, Head of IT, VP of IT, Director of IT, CISO, CIO, CTO, Head of Information Security, VP of Information Security, Director of Information Security",Turkey,,,,,,,,
PREI polar,2026-06-29,,Done,"Oil & Gas, Power Generation",500 to 1000 employees,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, Plant Head",India,,,,,,,,
Deflytics - Segment 1,2026-06-29,,Done,"IT Services, Outsourcing and offshoring,  Retail, Media, Professional/Business Services, Apparel and fashion, Luxury Goods and jewellery, Consumer Goods, Pharma, Chemicals, Agri-products, Food manufacturing",200 - 5000,"CFO, Director of Financial Planning & Analysis, VP of Financial Planning & Analysis, Head of Finance, Finance Director, SVP Finance, VP Finance",India,,,,,,,,
Vasundhara,2026-06-29,,Done,"Urban, Agriculture, Defense, Disaster, Transportation, Oil & Energy",11 - 5000,"CEO, Founder, Co-Founder, Managing Director, Executive Director, COO, Head of Operations, Director of Operations, VP of Operations, CTO, Head of IT, VP of IT, Director of IT, CIO, Head of Analytics, Director of Analytics, VP of Analytics",India,,,,,,,,
Ayc Analytics,2026-06-29,,Done,"Keywords - ERP Resellers, ERP Consulting, Business Intelligence Consulting, Data Science",51 to 500,"CEO, Founder, Co-Founder, MD, Executive Director, Business Development Head",India,,,,,,,,
Radiant Cash,2026-06-29,,Done,"Logistics, Finance",51 to 500 employees,"CEO, Founder, Co-Founder, Managing Director, Executive Director, Head of Treasury, VP of Treasury, Director of Treasury, Head of Finance, Director of Finance, VP of Finance, CFO, Finance Controller",India,,,,,,,,
Radiant Insta,2026-06-29,Task,Done,Facility management,11-1000,"CEO, Founder, Co-Founder, Managing Director, Executive Director, Head of Treasury, VP of Treasury, Director of Treasury, Head of Finance, Director of Finance, VP of Finance, CFO, Finance Controller, Owner",India,,,,,,,,
Shreeyansh DB - US,2026-06-29,Task,Done,"Software, Healthcare, Finance",51-200,"Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology, Head of Infrastructure, VP of Infrastructure, Director of Infrastructure,",US,,,,,,,,
Sensel Telematics,2026-06-29,,Done,https://docs.google.com/spreadsheets/d/1QGVXGHk3E2L-hX8D2h3VyZ39PLNKjfb9qM2G7O0u90s/edit?gid=0#gid=0,,"CEO, Founder, Co-Founder, Managing Director, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, Head of Logistics, VP of Logistics, Director of Logistics, Chief Procurement Officer, Head of Procurement, VP of Procurement, Director of Procurement, Head of Sourcing, VP of Sourcing, Director of Sourcing",India,,,,,,,,
Augrev,2026-06-29,,Done,https://docs.google.com/spreadsheets/d/1iR6w-NyUHycao989nHlbnWrsTU1_43fP5lfuUKKFLpM/edit?gid=0#gid=0,,"CEO, Founder, Co-Founder, MD, Executive Director, Revenue Manager, Head of Revenue, VP of Revenue, Director of Revenue","United Kingdom, Netherlands, Ireland, Malta, USA, Australia",,,,,,,,
Docuscan - Task,2026-06-29,,Done,,,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, Head of Admin, VP of Admin, Director of Admin, Chief Procurement Officer, Head of Procurement, VP of Procurement, Director of Procurement, Head of Sourcing, VP of Sourcing, Director of Sourcing",India,,,,,,,,
Pradhi AI (Task),2026-06-29,,Done,,,,,,,,,,,,
Weeloy,2026-06-29,,Done,"Hotels, Resturant, Hospitality",11 to 1000,"CEO, Founder, Co-Founder, Managing Director, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, Chief Revenue Officer, Chief Innovation Officer","Thailand, Indonesia, Malaysia, Vietnam, United Arab Emirates, Bali, Singapore, Philippines, and Hong Kong",,,,,,,,
BeReckon,2026-06-30,,Done,"Banking, Finance, Insurance",51-1000,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations",India,,,,,,,,
Enfin - LMS,2026-06-30,,Done,"Education, E-learning",51 to 500 employees,"CEO, Founder, Co-Founder, MD, Executive Director, Head of Learning, VP of Learning, Director of Learning, Chief Learning Officer, COO, Head of Operations, VP of Operations, Director of Operations",India,,,,,,,,
